Variable Name,Definition,Formula / Explanation,
mom_1m_l1,1-month momentum,(Price_today / Price_21_trading_days_ago) ? 1,
mom_3m_l1,3-month momentum,(Price_today / Price_63_trading_days_ago) ? 1,
mom_6m_l1,6-month momentum,(Price_today / Price_126_trading_days_ago) ? 1,
dist50_l1,Distance from 50-day moving average,(Price_today ? MA50_today) / MA50_today,
dist200_l1,Distance from 200-day moving average,(Price_today ? MA200_today) / MA200_today,
vol_30d_l1,30-day volatility,Standard deviation of daily returns over last 30 trading days,
vol_60d_l1,60-day volatility,Standard deviation of daily returns over last 60 trading days,
log_mcap_l1,Log market capitalization,log(market_capitalization),
beta_l1,Beta vs S&P 500,"Cov(asset_returns, SPX_returns) / Var(SPX_returns) using last ~252 days",
roe_l2,Return on Equity,TTM Net Income / Shareholder Equity ,
de_l2,Debt-to-Equity ratio,Total Debt / Total Equity ,
op_margin_l2,TTM Operating Margin,TTM Operating Income / TTM Revenue ,
npm_l2,TTM Net Profit Margin,TTM Net Income / TTM Revenue ,
earn_yield_l2,Earnings Yield,1 / trailing_PE,
bp_l2,Book-to-Price ratio,Book Value per Share / Current Price,
revps_growth_l2,Revenue per share growth,growth in trailing twelve month revenue per share ,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
