,Return on Common Equity,Volatility 30 Day,Volatility 60 Day,Last Price,Moving Average 50 Day,Moving Average 200 Day,Current Market Cap,Trailing 12M Profit Margin,Trailing 12M Operating Margin,Total Debt to Total Equity,Price to Book Ratio,Price Earnings Ratio (P/E),Overridable Raw Beta,1 Month Total Return - Current,3 Month Total Return - Current,6 Month Total Return - Current
,RETURN_COM_EQY,VOLATILITY_30D,VOLATILITY_60D,PX_LAST,MOV_AVG_50D,MOV_AVG_200D,CUR_MKT_CAP,TRAIL_12M_PROF_MARGIN,TRAIL_12M_OPER_MARGIN,TOT_DEBT_TO_TOT_EQY,PX_TO_BOOK_RATIO,PE_RATIO,BETA_RAW_OVERRIDABLE,CURRENT_TRR_1MO,CURRENT_TRR_3MO,CURRENT_TRR_6MO
A UN Equity,20.61871984,25.40712453,28.3392508,145.49,144.1791992,123.9143524,41181581310,18.75359816,21.28670121,49.75522919,6.109120734,27.41171465,0.967097194,-0.8518468,13.76815,26.14098
AAPL UW Equity,171.4224497,15.93944338,21.08221821,278.78,265.5939941,228.1499939,4.11935E+12,26.91506412,31.97079976,152.4107252,55.8567996,37.31994629,1.121690977,3.940481,17.30663,36.99901
ABBV UN Equity,#N/A N/A,29.14098002,27.23962734,226.08,228.1058044,204.6306458,3.9957E+11,4.003755617,15.15827242,2021.967895,#N/A N/A,26.20901689,0.242473156,3.15751,8.546165,21.01492
ABNB UW Equity,30.7755293,27.48934224,24.15574718,124.32,121.6735992,127.0525513,76525145666,22.02964079,22.64925061,27.27056586,8.908878027,29.64346289,1.255813029,2.8458,-0.2407343,-11.6041
ABT UN Equity,30.80330579,19.31734663,18.01492575,125.08,128.6324005,130.8846436,2.17498E+11,31.87966152,17.59231804,31.88868708,4.268520568,18.82996232,0.279069814,-1.012978,-4.954547,-5.514388
ACGL UW Equity,18.29788194,15.21064195,20.7753787,91.72,90.19599915,90.95510101,33260051033,20.95891112,23.92672568,13.88568684,1.471831729,8.96489316,0.329543084,2.400359,0.9020898,-3.988273
ACN UN Equity,25.81676123,31.09172583,29.50720848,266.59,247.746994,280.7973633,1.65509E+11,11.02067592,14.67665721,25.38033676,5.317180099,20.6218324,0.59978398,8.47575,5.017614,-15.07286
ADBE UW Equity,52.87478624,32.25250976,29.37480295,346.26,337.3388062,369.6132813,1.44944E+11,30.01164747,36.24520081,42.93512939,12.35592218,21.49297061,1.020565957,5.906101,-3.457312,-16.9481
ADI UW Equity,6.572763897,33.57080634,31.6742098,281.29,242.2021942,227.6746826,1.37735E+11,20.57534742,26.61138812,26.46255865,4.073095666,36.4464674,1.596676234,23.54693,13.37458,27.51077
ADM UN Equity,5.347906265,32.19125298,28.64868577,59.01,60.25460052,54.37139893,28358420062,1.428897622,1.303914146,51.43774241,1.259327725,14.75771274,0.404812785,4.469697,-4.451311,26.58526
ADP UW Equity,70.57087286,25.65580379,19.75348474,261.63,269.7161865,295.5411072,1.05816E+11,19.78769004,26.1789948,71.67259211,16.62022482,25.72291738,0.500376916,2.939094,-11.8712,-19.12033
ADSK UW Equity,40.33399891,22.9950756,20.62938089,306.74,305.0197144,292.9351807,65028880000,16.12950058,21.96573751,97.63449065,22.47800827,52.33568792,1.124468504,3.216905,-6.135444,2.981268
AEE UN Equity,11.46548572,17.49020417,15.50634172,99.86,103.802002,99.83550262,27012130000,15.75128377,20.80821612,152.9200359,2.113625209,19.20384627,0.132396143,-4.577163,0.5847829,5.499114
AEP UW Equity,12.8195165,23.88225007,19.98152944,117.54,118.6544037,109.5017776,62777471056,17.22773675,24.93437456,169.3419529,2.065638766,15.26760206,-0.034286239,-2.453187,10.13584,17.33007
AES UN Equity,31.72606569,26.33422313,45.18869034,13.92,14.10540009,12.40719986,9912723540,9.467504548,14.77592194,336.8201805,2.564740904,8.288383388,0.904367835,-1.4862,10.8222,31.16675
AFL UN Equity,15.57980493,16.57484269,16.19081569,109.28,110.3504028,106.6539001,57275168850,23.55234168,29.97005819,29.42754234,2.00256512,14.59305614,0.368907362,-3.708157,3.309539,6.529601
AIG UN Equity,7.56815754,23.09455068,24.14086931,77.03,78.41760254,80.89820099,41563543440,11.90980851,18.87151001,23.00822562,1.020863363,12.59184359,0.492820948,0.1299863,-1.632518,-10.81272
AIZ UN Equity,15.41339047,18.41018797,19.95504708,222.87,218.9541931,205.3919525,11161576986,6.731913139,9.216725092,41.13811268,1.942785865,12.43754066,0.550361676,-0.2585668,5.662333,10.81656
AJG UN Equity,9.048935004,29.82998006,27.03638273,239.71,271.069397,306.7244568,61557528000,12.28875347,19.98419009,66.27435628,2.652678629,29.4034894,0.332710258,-3.859837,-19.64428,-26.73008
AKAM UW Equity,10.64160481,52.16685827,39.66445963,83.49,80.08280182,78.57344818,12011308637,12.26322836,15.0035735,95.00339971,2.536620294,22.41669599,0.671340383,-0.2985431,5.844321,8.386342
ALB UN Equity,-2.393475367,69.65422612,65.82431282,125.19,103.2106018,77.80460358,14734555033,-0.427703701,-2.937400117,40.03726388,1.898446924,#N/A N/A,1.739696681,28.82281,53.48452,111.7613
ALGN UW Equity,9.577499439,37.99430813,33.04312333,157.21,136.5803986,160.3596191,11279816714,9.501228085,13.42281542,3.096507385,2.861788775,24.02119211,1.420981779,16.59004,14.86921,-12.96091
ALL UN Equity,37.31087123,18.76899978,22.27284731,202.27,204.4452057,201.5333557,52930359077,12.53328546,14.18484277,38.9385501,2.081899081,7.187784181,0.366350318,0.4662647,1.459339,-1.350879
ALLE UN Equity,36.41118945,19.19910388,18.09031511,159.08,169.2940063,152.1996002,13685963083,16.0916652,20.96891726,143.3131205,7.030690232,20.85231296,0.67770263,-4.941741,-7.833374,15.08576
AMAT UW Equity,35.50842298,44.44977391,45.26345777,268,230.3397064,182.5763245,2.135E+11,24.66864072,29.21954315,32.10874357,10.45800492,28.71978248,1.869728068,16.72958,65.72647,61.52851
AMCR UN Equity,7.443883098,23.27839282,19.78093874,8.3,8.227800369,9.002650261,19159387510,3.344635366,6.654789955,130.0085179,1.63478413,24.19825128,0.346601909,0.6767442,2.513906,-6.080245
AMD UW Equity,5.614094672,60.5771916,74.33078259,217.97,224.5225983,153.1047211,3.54864E+11,10.32254036,8.783214163,4.092551417,5.837393683,104.6275257,1.993103942,-6.666949,43.96011,87.5979
AME UN Equity,14.63157601,27.10727914,22.66252197,199.8,190.9945984,181.4909973,45994733825,20.50171197,26.15501649,24.07458118,4.369267248,31.31223217,0.852665219,1.946104,6.236952,12.58109
AMGN UW Equity,81.71001983,32.86477643,30.08042272,329.89,311.9955139,296.7275085,1.77639E+11,19.47402074,24.10552945,1035.885656,18.46821633,35.27879644,0.365786081,3.752671,18.56814,15.35426
AMP UN Equity,59.58915366,26.78407924,22.75310812,477.06,469.8904114,495.0266418,44321599444,19.5989406,28.70115129,65.57000765,6.882685966,14.3008642,1.164339084,3.747452,-2.785748,-7.403203
AMT UN Equity,77.38333509,22.02635996,19.71333997,178.86,184.218399,204.9557037,83732704990,28.1060193,45.57950013,455.5442702,21.19020633,28.57188508,0.015319271,0.5113817,-6.816244,-14.43065
AMZN UW Equity,24.32703226,41.47070052,34.28421205,229.53,228.3901978,214.7989044,2.45373E+12,11.06302345,11.02237716,51.69703116,6.636313234,34.33057968,1.404895438,-6.088132,-2.675542,7.472955
ANET UN Equity,31.73637541,44.68847737,46.06894823,128.59,140.7754059,112.5774002,1.61931E+11,39.73085351,42.88243271,0.596729882,13.59865319,49.38682081,2.333351526,-4.500556,-8.156559,32.22622
AON UN Equity,38.32757527,18.97949978,19.16746107,345.2,348.6202087,363.5906982,74195653478,15.96194503,24.82381959,278.2581649,9.357229201,24.83716349,0.266879064,-0.3233989,-6.500695,-6.576316
AOS UN Equity,28.20908221,22.08775028,21.06545117,68.03,67.78520203,67.98574829,9472348759,13.85081329,18.34677946,12.10512344,5.135455998,17.95558132,0.738391207,2.67129,-7.516047,6.822605
APA UW Equity,27.2407257,43.32303338,46.20237769,27.1,23.96139908,20.5048008,9611536702,15.61950109,30.69040472,100.8959447,1.615831539,5.419700909,0.987763635,13.7222,23.0727,50.06193
APD UN Equity,-2.460903142,32.04793122,27.3159177,260.69,257.9773865,278.6264038,58027049926,-3.277313019,-7.28568699,106.088831,3.862024573,42.35385369,0.728165322,0.3657551,-9.16665,-5.614359
APH UN Equity,34.77936358,34.53154274,31.97292038,139.36,132.7129974,100.6057968,1.70584E+11,18.2181409,24.31437617,73.86491614,13.65071961,46.45489752,1.674828997,0.194122,26.24675,49.7443
APO UN Equity,21.86158517,33.27919058,36.59002953,138.13,128.3105927,135.4374542,80173770008,15.5833787,24.43839594,47.32085216,3.687802927,18.8247159,1.79407683,4.779458,3.166142,4.311749
APP UW Equity,234.6813558,55.95559932,62.90557144,691.94,610.5264282,431.9083252,2.33845E+11,51.27521488,59.92356989,328.3796928,158.9262137,79.01680891,3.545801441,11.61583,26.48801,65.57945
APTV UN Equity,3.24818322,35.15341415,28.95284403,76.37,81.62480164,71.08370209,16501984618,1.463874553,6.143310838,97.83159053,1.781736123,13.1643162,1.057557903,-8.713842,-7.205347,14.60085
ARE UN Equity,-2.415984218,79.8222456,59.73522391,45.48,64.18280029,76.75520325,7860083683,-13.42464295,-0.714811438,56.93025516,0.465585713,21.03599966,0.94647235,-18.21615,-46.0024,-33.30497
ATO UN Equity,9.31903059,15.47770139,14.78943536,171.29,174.3553925,161.1116943,27696451523,25.49046251,33.17142824,68.96390486,2.041099781,22.8574851,0.120889729,-2.622086,5.126793,13.79756
AVB UN Equity,9.811273646,19.40625938,15.93441266,178.02,182.7182007,197.6788483,25206732109,38.78184919,29.67044089,69.09360551,2.127282739,35.11640951,0.627484345,0.3608069,-7.629575,-10.81589
AVGO UW Equity,27.25440516,49.05897672,45.31816964,390.24,355.5365906,275.229248,1.84286E+12,31.59229717,37.71818576,101.8292503,25.14722538,94.71899599,2.60707634,11.67902,13.09695,58.68554
AVY UN Equity,30.21129666,19.98877423,27.45038857,179.33,169.4593964,173.831543,13861383006,7.931584949,12.18244014,146.0839856,6.28955883,19.23559629,0.609411811,3.573276,7.073288,0.7983739
AWK UN Equity,10.45653298,26.77345709,23.05356059,129.5,134.7088013,140.2498932,25268501668,21.93293886,36.96252465,136.7015099,2.31672223,22.75922671,-0.236965668,-0.4011205,-6.931034,-6.409072
AXON UW Equity,10.02791567,44.02593515,47.03494698,550.95,642.8244019,676.4624634,43475721243,10.05079444,-1.083403669,31.410233,14.35557372,368.0953395,1.665700124,-8.557534,-25.60862,-30.42242
AXP UN Equity,33.51683729,22.6078082,26.59923832,370.35,350.2518005,308.8453369,2.55116E+11,13.40394959,17.11702547,168.8111287,7.871522788,24.85570511,1.204142584,0.4911265,14.10536,23.06615
AZO UN Equity,#N/A N/A,21.14557986,21.63807352,3822.66,3916.773682,3824.762451,63581015544,13.19121495,19.06229873,#N/A N/A,#N/A N/A,26.38500768,0.275604251,2.807762,-9.904121,2.780674
BA UN Equity,#N/A N/A,43.4214707,35.04927005,201.89,204.8795929,201.4306946,1.53456E+11,-12.19708508,-10.23564521,#N/A N/A,#N/A N/A,#N/A N/A,1.387680565,3.740814,-12.58281,-4.226757
BAC UN Equity,10.27197801,17.74765201,21.11956656,53.95,52.07860184,46.62004852,3.9397E+11,27.63835024,30.17601432,257.1757246,1.421564275,14.55162408,1.146113338,1.936095,9.644166,21.26994
BALL UN Equity,11.21279578,29.23548745,23.89348795,49.03,48.56119919,51.87704849,13139480470,5.356861509,9.185441941,101.989882,2.427983888,16.93276239,0.457269423,0.5104046,-3.394826,-8.016324
BAX UN Equity,-4.51267121,56.56152634,44.58871536,18.54,20.50180054,26.97610092,9530594625,-3.093531706,-0.127007167,191.4720957,1.315917708,19.16194,0.773874821,3.054969,-22.99753,-38.27621
BBY UN Equity,22.4934612,29.32028215,35.8439632,74.17,77.97319794,72.93840027,15541218590,1.542139868,2.115959354,144.6937322,5.873799768,11.69827844,1.081140635,-6.149564,-3.176086,4.326124
BDX UN Equity,6.544461778,21.56370136,20.44043412,193.96,188.1026001,191.2506561,55359782152,7.683501992,11.80456981,78.84994092,2.180252321,13.74945251,0.38261895,9.654754,1.790379,13.72191
BEN UN Equity,4.161734978,27.47064008,26.30886782,23.4,22.69140053,22.30344963,12190711572,5.984699055,6.887705656,23.69897384,1.009312278,13.44537021,0.957855077,5.263158,-4.647368,9.933432
BF/B UN Equity,20.66590126,28.88653365,27.04313998,30.4,27.93740082,30.45059967,14056275155,20.82797634,26.99922859,71.04933634,3.450576444,16.59245525,0.611191798,15.15413,11.0221,10.74304
BG UN Equity,10.21503301,21.09788698,35.945891,93.63,92.00700378,81.8207016,18104394831,2.201001514,2.581976077,65.0196365,1.148477773,12.4141082,0.285492959,-0.4144214,11.84191,27.63806
BIIB UW Equity,9.307304203,26.31861504,31.98981813,181.3,157.9048004,138.4538574,26597121914,15.98068727,21.90663527,40.18126346,1.460755757,13.8404894,0.631248311,16.58415,28.26317,36.18267
BK UN Equity,13.06264017,17.15694599,17.69239924,114.02,108.5887985,95.89185333,79511747118,26.549524,33.85152927,164.8285605,2.036517296,15.94897623,0.906859323,3.99489,10.15356,27.52819
BKNG UW Equity,#N/A N/A,33.80972075,30.65120744,5197.04,5090.10791,5199.615234,1.6752E+11,19.37094358,32.73551212,#N/A N/A,#N/A N/A,29.48803709,1.141472598,5.397564,-6.518494,-7.104529
BKR UW Equity,16.83456589,29.30857877,30.39936957,49.2,48.05099869,42.95622635,48549274994,10.43268016,11.45754394,39.26121372,2.671762998,20.40649605,0.849123999,2.778362,8.339527,31.14957
BLDR UN Equity,13.55536582,47.20301267,42.97955425,110.01,115.3211975,123.0451508,12164969716,3.794270126,6.57121775,100.857099,2.817723171,17.7877628,1.22088842,0.5392104,-25.61363,-1.451218
BLK UN Equity,12.60845735,23.45525044,23.37985548,1072.16,1102.458008,1037.323975,1.7528E+11,26.6375355,35.45116889,28.81572282,2.995695877,25.92604202,1.108228685,-0.446309,-2.493397,9.446117
